first_name,last_name,residence,phone_number,email,age,tariff_plan,contract_type,customer_type,income_level,contract_satisfaction,monthly_price,years_in_company,monthly_usage_hours,num_family_lines,churn_probability,churn_reason,recommended_retention_strategy
Mario,Molina,"Málaga, España",+34 658508193,mario.molina@hotmail.com,20,Fiber Only (Basic),Monthly,Single,Low,Medium,29.04,8,59,0,Low,,
Montserrat,Romero,"Sevilla, España",+34 672704867,montserrat.romero@hotmail.com,27,Fiber Only (Basic),Annual,Family,High,High,25.66,6,198,0,Low,,
Elena,Ramos,"Madrid, España",+34 633251315,elena.ramos@hotmail.com,27,Fiber + TV + Mobile (Basic),Annual,Single,Medium,Medium,51.14,7,206,2,Low,,
Claudia,Torres,"Zaragoza, España",+34 663515888,claudia.torres@hotmail.com,31,Fiber + TV,Monthly,Couple,High,High,30.62,6,294,0,Low,,
Sofia,Vega,"Valencia, España",+34 696948664,sofia.vega@hotmail.com,51,Mobile - Unlimited,Monthly,Single,Medium,High,44.15,7,69,4,Low,,
Daniela,Alvarez,"Zaragoza, España",+34 698776754,daniela.alvarez@hotmail.com,42,Fiber + TV + Mobile (Basic),Monthly,Single,Low,High,51.65,10,140,2,Low,,
Carolina,Santos,"Málaga, España",+34 636901518,carolina.santos@hotmail.com,75,Fiber + TV + Mobile (Unlimited),Annual,Couple,Medium,High,98.51,5,249,6,Low,,
Victoria,Dominguez,"Málaga, España",+34 600820888,victoria.dominguez@hotmail.com,53,Mobile - Standard,Monthly,Single,Low,Medium,20.62,1,212,2,Low,,
Ismael,Ramirez,"Zaragoza, España",+34 619923429,ismael.ramirez@hotmail.com,23,Mobile - Unlimited,Monthly,Single,High,High,49.7,10,216,4,Low,,
Raul,Gomez,"Madrid, España",+34 665227898,raul.gomez@hotmail.com,28,Fiber + TV,Monthly,Single,High,Medium,37.94,3,90,0,High,Better Offers Elsewhere,iPhone Discount or Free Device
Gabriela,Fernandez,"Barcelona, España",+34 603743058,gabriela.fernandez@hotmail.com,44,Mobile - Basic,Monthly,Single,High,High,11.04,2,108,1,Low,,
Paula,Campos,"Bilbao, España",+34 643659953,paula.campos@hotmail.com,26,Fiber + TV + Mobile (Premium),Annual,Family,Low,Medium,78.32,4,268,4,High,No Longer Needed,
Irene,Marquez,"Sevilla, España",+34 667346755,irene.marquez@hotmail.com,29,Fiber Only (Basic),Monthly,Single,Low,High,24.86,8,90,0,Low,,
Mireia,Garcia,"Barcelona, España",+34 612748321,mireia.garcia@hotmail.com,35,Fiber Only (Premium),Annual,Family,High,High,42.3,10,134,0,Low,,
Isabel,Herrera,"Valencia, España",+34 676711511,isabel.herrera@hotmail.com,58,Fiber + TV + Mobile (Basic),Annual,Family,High,Medium,55.76,9,298,2,High,Better Offers Elsewhere,
Natalia,Castro,"Málaga, España",+34 647784513,natalia.castro@hotmail.com,46,Fiber Only (Basic),Annual,Single,Low,Medium,29.69,4,245,0,Low,,
Manuel,Martinez,"Valencia, España",+34 673920899,manuel.martinez@hotmail.com,68,Mobile - Basic,Monthly,Single,High,High,18.52,10,223,1,Low,,
Silvia,Sanchez,"Barcelona, España",+34 696719531,silvia.sanchez@hotmail.com,54,Mobile - Unlimited,Monthly,Single,Low,Medium,41.86,3,58,4,Low,,
Marina,Moreno,"Barcelona, España",+34 625225781,marina.moreno@hotmail.com,71,Mobile + Fiber (Standard),Annual,Single,High,Low,59.44,1,127,3,High,Better Offers Elsewhere,
Lucia,Morales,"Zaragoza, España",+34 674629521,lucia.morales@hotmail.com,32,Mobile + Fiber (Standard),Monthly,Couple,High,Medium,52.85,4,155,3,Low,,
Felipe,Ortega,"Valencia, España",+34 644787770,felipe.ortega@hotmail.com,52,Mobile - Standard,Monthly,Family,Low,High,20.09,2,154,2,Low,,
Esteban,Diaz,"Bilbao, España",+34 637642101,esteban.diaz@hotmail.com,55,Fiber + TV,Monthly,Family,Medium,Medium,36.69,6,174,0,Medium,,
Ignacio,Leon,"Barcelona, España",+34 603937189,ignacio.leon@hotmail.com,28,Fiber + TV + Mobile (Basic),Monthly,Couple,High,High,53.41,6,62,2,Low,,
Antonio,Reyes,"Sevilla, España",+34 683020539,antonio.reyes@hotmail.com,28,Mobile + Fiber (Standard),Annual,Couple,Low,High,50.48,9,288,3,Low,,
Sergio,Castillo,"Madrid, España",+34 694960371,sergio.castillo@hotmail.com,71,Fiber + TV,Monthly,Couple,Medium,High,39.99,9,246,0,Low,,
Lucas,Gil,"Barcelona, España",+34 604953075,lucas.gil@hotmail.com,79,Mobile + Fiber (Standard),Monthly,Couple,Medium,Medium,58.99,8,242,3,Low,,
Marisol,Muñoz,"Málaga, España",+34 613665380,marisol.muñoz@hotmail.com,51,Fiber + TV + Mobile (Basic),Monthly,Family,Low,High,59.14,6,146,2,Low,,
Diego,Vazquez,"Bilbao, España",+34 617153781,diego.vazquez@hotmail.com,61,Mobile - Standard,Annual,Single,Low,Medium,29.04,2,238,2,Low,,
Carla,Lopez,"Málaga, España",+34 693564725,carla.lopez@hotmail.com,38,Fiber Only (Premium),Annual,Single,High,High,42.23,7,49,0,Low,,
Florencia,Mendez,"Barcelona, España",+34 612526898,florencia.mendez@hotmail.com,58,Fiber Only (Basic),Monthly,Family,Medium,High,23.95,1,78,0,Low,,
Salvador,Hernandez,"Zaragoza, España",+34 617584307,salvador.hernandez@hotmail.com,41,Fiber Only (Premium),Monthly,Family,Low,Medium,41.6,9,198,0,Low,,
Victor,Jimenez,"Barcelona, España",+34 600130232,victor.jimenez@hotmail.com,76,Mobile - Basic,Annual,Family,High,High,15.61,8,203,1,Medium,,
Vanessa,Perez,"Málaga, España",+34 665843738,vanessa.perez@hotmail.com,37,Mobile - Basic,Monthly,Single,Low,Medium,10.28,9,285,1,High,High Price,10% Discount
Clara,Rodriguez,"Valencia, España",+34 607788426,clara.rodriguez@hotmail.com,76,Mobile - Unlimited,Monthly,Family,Low,High,48.96,7,188,4,Low,,
Carmen,Iglesias,"Barcelona, España",+34 603615868,carmen.iglesias@hotmail.com,18,Fiber + TV + Mobile (Unlimited),Annual,Couple,High,Medium,97.01,8,266,6,Low,,
Lidia,Ruiz,"Valencia, España",+34 688672222,lidia.ruiz@hotmail.com,44,Fiber + TV + Mobile (Basic),Monthly,Family,Medium,High,59.59,9,33,2,Low,,
Carlos,Peña,"Barcelona, España",+34 695712519,carlos.peña@hotmail.com,21,Mobile - Basic,Annual,Family,High,Medium,18.38,7,263,1,Medium,,
Cristina,Cano,"Zaragoza, España",+34 699263229,cristina.cano@hotmail.com,41,Mobile + Fiber (Standard),Monthly,Couple,Medium,Low,56.73,3,119,3,High,Better Offers Elsewhere,
Diana,Guerrero,"Zaragoza, España",+34 652357368,diana.guerrero@hotmail.com,31,Mobile + Fiber (Standard),Monthly,Single,Medium,High,52.5,7,172,3,Low,,
Sandra,Blanco,"Valencia, España",+34 634186918,sandra.blanco@hotmail.com,26,Mobile - Standard,Annual,Couple,Medium,High,21.13,3,37,2,Low,,
Andres,Serrano,"Madrid, España",+34 678359001,andres.serrano@hotmail.com,21,Fiber + TV + Mobile (Premium),Annual,Couple,Low,High,71.31,7,148,4,Low,,
Milagros,Martin,"Valencia, España",+34 682818127,milagros.martin@hotmail.com,35,Mobile - Unlimited,Annual,Single,Medium,Medium,46.01,5,53,4,Low,,
Adrian,Gutierrez,"Sevilla, España",+34 668492042,adrian.gutierrez@hotmail.com,23,Fiber + TV + Mobile (Premium),Annual,Single,High,Low,76.13,3,238,4,Medium,,
Matias,Cruz,"Madrid, España",+34 684221855,matias.cruz@hotmail.com,33,Fiber + TV + Mobile (Basic),Annual,Family,Medium,Low,57.91,3,28,2,High,Low Data Allowance,Upgrade to Better Plan
Luis,Ortiz,"Sevilla, España",+34 697847960,luis.ortiz@hotmail.com,69,Mobile - Unlimited,Annual,Single,Low,High,41.47,6,66,4,Low,,
Alberto,Delgado,"Sevilla, España",+34 695687975,alberto.delgado@hotmail.com,19,Fiber + TV + Mobile (Premium),Annual,Single,Medium,Low,71.47,1,86,4,Medium,,
Eva,Navarro,"Bilbao, España",+34 683771712,eva.navarro@hotmail.com,79,Mobile + Fiber (Standard),Monthly,Single,High,Medium,52.18,1,161,3,Medium,,
Belen,Gonzalez,"Málaga, España",+34 671652585,belen.gonzalez@hotmail.com,52,Mobile - Standard,Annual,Single,Medium,High,29.71,5,82,2,Low,,
Enrique,Aguilar,"Zaragoza, España",+34 640532180,enrique.aguilar@hotmail.com,27,Fiber + TV + Mobile (Premium),Annual,Couple,High,Low,79.63,4,282,4,High,No Longer Needed,
Emma,Flores,"Barcelona, España",+34 644442995,emma.flores@hotmail.com,60,Fiber + TV + Mobile (Unlimited),Monthly,Single,Medium,Medium,90.01,4,145,6,Low,,
Patricia,Molina,"Valencia, España",+34 636388506,patricia.molina@hotmail.com,41,Fiber + TV + Mobile (Premium),Annual,Couple,Low,Medium,73.72,8,228,4,Low,,
Teresa,Romero,"Málaga, España",+34 698607496,teresa.romero@hotmail.com,42,Fiber + TV + Mobile (Basic),Annual,Family,Medium,Low,51.85,1,289,2,High,Better Offers Elsewhere,
Daniel,Ramos,"Sevilla, España",+34 646496490,daniel.ramos@hotmail.com,34,Fiber + TV + Mobile (Unlimited),Monthly,Single,Medium,Low,92.43,5,248,6,High,High Price,
Hugo,Torres,"Barcelona, España",+34 692319479,hugo.torres@hotmail.com,30,Fiber + TV + Mobile (Basic),Monthly,Couple,Medium,Medium,54.49,2,107,2,Medium,,
Andrea,Vega,"Sevilla, España",+34 648671009,andrea.vega@hotmail.com,29,Fiber + TV + Mobile (Premium),Annual,Couple,High,High,77.2,10,175,4,Low,,
Maria,Alvarez,"Bilbao, España",+34 695949206,maria.alvarez@hotmail.com,20,Mobile - Standard,Monthly,Couple,High,High,26.28,4,161,2,Low,,
Miguel,Santos,"Sevilla, España",+34 644604281,miguel.santos@hotmail.com,59,Mobile + Fiber (Standard),Annual,Couple,Low,High,57.8,10,215,3,Low,,
Alejandro,Dominguez,"Zaragoza, España",+34 685775550,alejandro.dominguez@hotmail.com,54,Mobile - Standard,Monthly,Family,High,Low,28.53,3,242,2,High,High Price,
Alicia,Ramirez,"Valencia, España",+34 602219903,alicia.ramirez@hotmail.com,54,Fiber Only (Basic),Monthly,Family,Low,High,23.42,1,123,0,Low,,
Julian,Gomez,"Zaragoza, España",+34 684112246,julian.gomez@hotmail.com,74,Fiber Only (Basic),Annual,Single,Low,Medium,26.06,1,184,0,Medium,,
Javier,Fernandez,"Madrid, España",+34 683022271,javier.fernandez@hotmail.com,62,Fiber Only (Premium),Annual,Couple,Medium,Medium,43.79,6,286,0,Low,,
Julia,Campos,"Barcelona, España",+34 617828290,julia.campos@hotmail.com,29,Fiber + TV,Monthly,Couple,Medium,Low,34.97,2,69,0,High,Low Data Allowance,Upgrade to Better Plan
David,Marquez,"Zaragoza, España",+34 630947829,david.marquez@hotmail.com,67,Fiber + TV + Mobile (Basic),Monthly,Couple,Medium,High,54.92,8,162,2,Low,,
Jose,Garcia,"Zaragoza, España",+34 625618330,jose.garcia@hotmail.com,43,Fiber + TV + Mobile (Unlimited),Annual,Family,Medium,Low,99.81,3,243,6,High,Low Data Allowance,Extra Data Package
Bianca,Herrera,"Valencia, España",+34 654525458,bianca.herrera@hotmail.com,29,Fiber Only (Basic),Monthly,Couple,High,High,20.27,10,30,0,Medium,,
